90,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
91,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91,80
92,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,80
93,Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97,80
94,Girlboss,TV-MA,,110,2017,94,80
95,The Discovery,TV-MA,,110,2017,NA,82
96,Sand Castle,TV-MA,,110,2017,89,80
97,Sandy Wexler,TV-14,,90,2017,92,80
98,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
99,Cheer Squad,TV-PG,,70,2016,61,80
100,Only for One Night,TV-MA,,110,2016,78,80
101,The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,NA,82
102,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,NA,82
103,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,NA,82
104,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
105,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80
106,Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75,80
107,It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
108,Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
109,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
110,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
111,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
112,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
113,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
114,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
