115,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
116,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
117,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
118,5 to 7,R,some sexual material,100,2014,NA,82
119,Marvel's Iron Fist,TV-MA,,110,2017,98,80
120,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
121,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
122,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
123,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80
124,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
125,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
126,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
127,Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
128,Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
129,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
130,Abstract: The Art of Design,TV-14,,90,2017,NA,82
131,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
132,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
133,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
134,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
135,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
136,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
137,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
138,Minimalism: A Documentary About the Important Things,TV-PG,,70,2016,NA,82
139,Girlboss,TV-MA,,110,2017,94,80
140,Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
141,The Discovery,TV-MA,,110,2017,NA,82
142,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
143,Sandy Wexler,TV-14,,90,2017,92,80
144,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
145,Win It All,TV-MA,,110,2017,NA,82
146,MerlÃ­,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,NA,82
147,Amy Schumer: The Leather Special,TV-MA,,110,2017,NA,82
148,Louis C.K. 2017,TV-MA,,110,2017,71,80
149,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
150,Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
151,The Brothers,R,strong sexual content and language,100,2001,NA,82
152,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,NA,82
153,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
154,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59,80
155,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
156,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,80
157,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,NA,82
158,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
159,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
160,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
161,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
162,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
163,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
164,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
165,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
166,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
167,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
168,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80
169,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
170,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
171,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79,80
172,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
173,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
174,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
175,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
176,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
177,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
178,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
179,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
180,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,80
181,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,80
182,Skins,TV-MA,,110,2017,NA,82
183,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
184,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
185,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,NA,81
186,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61,80
187,Deidra & Laney Rob a Train,TV-14,,90,2017,NA,82
188,Girlboss,TV-MA,,110,2017,94,80
189,Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
190,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
191,Hurricane Bianca,TV-MA,,110,2016,NA,82
192,Honeytrap,NR,This movie has not been rated.,124,2014,NA,82
193,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
194,Lazy Eye,TV-MA,,110,2016,NA,82
195,Like Cotton Twines,NR,,124,2016,NA,82
196,The Wedding Party,TV-14,,90,2016,NA,82
197,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
198,Only for One Night,TV-MA,,110,2016,78,80
199,Boy Bye,TV-MA,,110,2016,NA,82
200,Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
