47,26015,00377,UNIVERSITY OF CHICAGO GRADUATE,"970 EAST 58TH STREET, RM 411",CHICAGO,IL,60637
48,26016,00385,UNIVERSITY OF CINCINNATI - MEDICINE,231 BETHESDA AVENUE,CINCINNATI,OH,45267
49,26017,00387,UNIV OF CONNECTICUT SCH LAW,55 ELIZABETH ST,HARTFORD,CT,06105
50,26018,00392,UNIV OF DETROIT MERCY - LAW SCHOOL,651 E. JEFFERSON,DETROIT,MI,48226
51,26019,00398,UNIVERSITY OF MICHIGAN-MEDICAL SCH,1301 CATHERINE C5124 MED SCI-I,ANN ARBOR,MI,48109
52,26020,00428,VILLANOVA UNIV SCH OF LAW,299 N. SPRING MILL RD GAREY HL,VILLANOVA,PA,19085
53,26021,00429,WAKE FOREST UNIV - GRAD A&S/DIVINITY,PO BOX 7246,WINSTON-SALEM,NC,27109
54,26022,00435,WAYNE STATE UNIVERSITY - LAW SCHOOL,"468 W. FERRY, ROOM 191",DETROIT,MI,48202
55,26023,00461,BAKER COLLEGE OF CADILLAC,9600 E 13TH STREET,CADILLAC,MI,49601
56,26024,00462,BAKER COLLEGE OF CLINTON TOWNSHIP,34950 LITTLE MACK,CLINTON TOWNSHIP,MI,48035
57,26025,00463,BAKER COLLEGE OF MUSKEGON,1903 MARQUETTE,MUSKEGON,MI,49442
58,26026,00464,BAKER COLLEGE OF OWOSSO,1020 S. WASHINGTON,OWOSSO,MI,48867
59,26027,00465,BAKER COLLEGE OF PORT HURON,3403 LAPEER ROAD,PORT HURON,MI,48060
60,26028,00466,BAKER COLLEGE OF AUBURN HILLS,1500 UNIVERSITY DRIVE,AUBURN HILLS,MI,48326
61,26029,00468,HARVARD UNIVERSITY-HARVARD COLLEGE,86 BRATTLE STREET,CAMBRIDGE,MA,02138
62,26030,00470,HARVARD UNIV GRAD S OF ARTS & SCIEN,1350 MASSACHUSETTS AVE,CAMBRIDGE,MA,02138
63,26031,00471,HARVARD LAW SCHOOL,1563 MASS AVE,CAMBRIDGE,MA,02138
64,26032,00472,HARVARD UNIV MEDICAL SCHOOL,25 SHATTUCK ST,BOSTON,MA,02115
65,26033,00473,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,3400 N. CHARLES ST,BALTIMORE,MD,21218
66,26034,00474,JOHNS HOPKINS UNIV SCH ADV INTL STU,1740 MASSACHUSETTS AVE. NW,WASHINGTON,DC,20036
67,26035,00475,JOHNS HOPKINS UNIV SCH OF BUS/ED,6740 ALEXANDER BELL DR.,COLUMBIA,MD,21046
68,26036,00476,JOHNS HOPKINS UNIV SCH OF NURSING,525 N WOLFE STREET - ROOM 127,BALTIMORE,MD,21205
69,26037,00479,MISSISSIPPI COLLEGE - SCHOOL OF LAW,151 EAST GRIFFITH,JACKSON,MS,39201
70,26038,00480,WHITTIER COLLEGE - COLLEGE OF LAW,3333 HARBOR BOULEVARD,COSTA MESA,CA,92626
71,26039,00505,ST JOSEPH'S COLLEGE-SUFFOLK CAMPUS,155 ROE BLVD,PATCHOGUE,NY,11772
72,26040,00506,UNIVERSITY OF MICHIGAN LAW SCHOOL,310 HUTCHINS HALL,ANN ARBOR,MI,48109
73,26041,00507,HARVARD BUSINESS SCHOOL,SPANGLER CTR,BOSTON,MA,02163
74,26042,00508,HARVARD SCH OF DENTAL MEDICINE,188 LONGWOOD AVE,BOSTON,MA,02115
75,26043,00512,"UNIV OF CHICAGO, BOOTH SCH OF BUS",5807 S. WOODLAWN,CHICAGO,IL,60637
76,26044,00514,WAKE FOREST UNIV - SCH OF LAW,PO BOX 7206,WINSTON-SALEM,NC,27109
77,26045,00515,WAKE FOREST GRAD SCHOOLS OF BUSINESS,WORRELL PROFESSIONAL CENTER,WINSTON-SALEM,NC,27109
78,26046,00516,UNIVERSITY OF PITTSBURGH - SCHOOL OF MED,M-219 SCAIFE HALL,PITTSBURGH,PA,15261
79,26047,00518,"GEORGETOWN UNIV, SCH OF MEDICINE",3900 RESERVIOR RD  NW,WASHINGTON,DC,20007
80,26048,00519,TUFTS UNIV SCH OF DENTAL MEDICINE,1 KNEELAND STR,BOSTON,MA,02111
81,26049,00520,TUFTS UNIV SCHOOL OF MEDICINE,136 HARRISON AVE,BOSTON,MA,02111
82,26050,00522,"SMITH COLLEGE, SCH FOR SOCIAL WORK",LILLY HALL,NORTHAMPTON,MA,01063
83,26051,00524,WAKE FOREST UNIV - SCH OF MEDICINE,MEDICAL CENTER BLVD,WINSTON-SALEM,NC,27157
84,26052,00531,UNIV OF CT - SCH OF SOCIAL WORK,1798 ASYLUM AVENUE,WEST HARTFORD,CT,06117
85,26053,00532,UNIV OF MIAMI SCHOOL OF LAW,211 OLD LAW PO BOX 24-8087,CORAL GABLES,FL,33124
86,26054,00533,UNIV OF MIAMI-SCH OF MEDICINE,1600 NW 10TH AVE,MIAMI,FL,33136
87,26055,00540,SOUTHWESTERN OK STATE UNIV AT SAYRE,409 EAST MISSISSIPPI AVENUE,SAYRE,OK,73662
